CLIENT_ID,TRANSACTION_ID,TRANSACTION_AMOUNT
person_1,txn_1,1
person_1,txn_2,20
person_1,txn_3,30.4
person_2,txn_4,99.2
person_2,txn_5,1000
person_2,txn_6,2000
person_2,txn_7,300
person_2,txn_8,400
person_3,txn_9,556
person_4,txn_10,21987
person_5,txn_11,28
person_6,txn_12,95
person_6,txn_13,12
person_6,txn_14,45
person_7,txn_15,82
person_8,txn_16,2828.1
person_8,txn_17,921
person_8,txn_18,9292
person_8,txn_19,
person_8,txn_20,2121
person_8,txn_21,12
person_8,txn_22,
person_9,txn_23,4
person_10,txn_24,3
